1F1E6 1F1E8,🇦🇨,Ascension Island                      
1F1F8 1F1E8,🇸🇨,Seychelles                            
1F1F8 1F1E9,🇸🇩,Sudan                                 
1F1F8 1F1EA,🇸🇪,Sweden                                
1F1F8 1F1EC,🇸🇬,Singapore                             
1F1F8 1F1ED,🇸🇭,St. Helena                            
1F1F8 1F1EE,🇸🇮,Slovenia                              
1F1F8 1F1EF,🇸🇯,Svalbard & Jan Mayen                  
1F1F8 1F1F0,🇸🇰,Slovakia                              
1F1F8 1F1F1,🇸🇱,Sierra Leone                          
1F1F8 1F1F2,🇸🇲,San Marino                            
1F1F8 1F1F3,🇸🇳,Senegal                               
1F1F8 1F1F4,🇸🇴,Somalia                               
1F1F8 1F1F7,🇸🇷,Suriname                              
1F1F8 1F1F8,🇸🇸,South Sudan                           
1F1F8 1F1F9,🇸🇹,São Tomé & Príncipe                   
1F1F8 1F1FB,🇸🇻,El Salvador                           
1F1F8 1F1FD,🇸🇽,Sint Maarten                          
1F1F8 1F1FE,🇸🇾,Syria                                 
1F1F8 1F1FF,🇸🇿,Swaziland                             
1F1F9 1F1E6,🇹🇦,Tristan da Cunha                      
1F1F9 1F1E8,🇹🇨,Turks & Caicos Islands                
1F1F9 1F1E9,🇹🇩,Chad                                  
1F1F9 1F1EB,🇹🇫,French Southern Territories           
1F1F9 1F1EC,🇹🇬,Togo                                  
1F1F9 1F1ED,🇹🇭,Thailand                              
1F1F9 1F1EF,🇹🇯,Tajikistan                            
1F1F9 1F1F0,🇹🇰,Tokelau                               
1F1F9 1F1F1,🇹🇱,Timor-Leste                           
1F1F9 1F1F2,🇹🇲,Turkmenistan                          
1F1F9 1F1F3,🇹🇳,Tunisia                               
1F1F9 1F1F4,🇹🇴,Tonga                                 
1F1F9 1F1F7,🇹🇷,Turkey                                
1F1F9 1F1F9,🇹🇹,Trinidad & Tobago                     
1F1F9 1F1FB,🇹🇻,Tuvalu                                
1F1F9 1F1FC,🇹🇼,Taiwan                                
1F1F9 1F1FF,🇹🇿,Tanzania                              
1F1FA 1F1E6,🇺🇦,Ukraine                               
1F1FA 1F1EC,🇺🇬,Uganda                                
1F1FA 1F1F2,🇺🇲,U.S. Outlying Islands                 
1F1FA 1F1F3,🇺🇳,United Nations                        
1F1FA 1F1F8,🇺🇸,United States                         
1F1FA 1F1FE,🇺🇾,Uruguay                               
1F1FA 1F1FF,🇺🇿,Uzbekistan                            
1F1FB 1F1E6,🇻🇦,Vatican City                          
1F1FB 1F1E8,🇻🇨,St. Vincent & Grenadines              
1F1FB 1F1EA,🇻🇪,Venezuela                             
1F1FB 1F1EC,🇻🇬,British Virgin Islands                
1F1FB 1F1EE,🇻🇮,U.S. Virgin Islands                   
1F1FB 1F1F3,🇻🇳,Vietnam                               
1F1FB 1F1FA,🇻🇺,Vanuatu                               
1F1FC 1F1EB,🇼🇫,Wallis & Futuna                       
1F1FC 1F1F8,🇼🇸,Samoa                                 
1F1FD 1F1F0,🇽🇰,Kosovo                                
1F1FE 1F1EA,🇾🇪,Yemen                                 
1F1FE 1F1F9,🇾🇹,Mayotte                               
1F1FF 1F1E6,🇿🇦,South Africa                          
1F1FF 1F1F2,🇿🇲,Zambia                                
1F1FF 1F1FC,🇿🇼,Zimbabwe                              
